fid,DN,Area-km2
1,44,0.007197485
2,122,0.050382866
3,121,0.079173357
4,43,0.071976448
5,43,0.007197752
6,43,0.007197818
7,8,0.107964963
8,9,0.172744175
9,7,0.223130097
10,8,0.007197952
11,126,0.410272045
12,125,0.050385461
13,131,0.223132442
14,72,0.201544245
15,127,0.115170317
16,44,2.152814212
17,81,2.202594006
18,45,0.575856966
19,79,0.489468775
20,82,0.007198618
21,82,0.115176567
22,1,2.958433103
23,48,0.007198685
24,97,1.597957327
25,98,2.087482034
26,136,1.446824801
27,115,3.160060544
28,46,2.461839609
29,138,1.389336972
30,83,0.568702218
31,135,1.785218478
32,103,0.050393166
33,120,0.007199085
34,3,5.038842436
35,71,1.554861392
36,84,0.287955657
37,92,0.007199152
38,129,1.569293391
39,85,0.957454042
40,48,0.129582369
41,99,2.577016294
42,68,0.007199285
43,104,4.189527741
44,65,0.172778485
45,68,0.007199352
46,67,0.04319591
47,86,0.179981404
48,70,0.007199418
49,103,5.751626306
50,5,1.878834606
51,68,0.057595456
52,89,0.007199485
53,131,2.411564548
54,70,0.043197347
55,132,3.052361031
56,80,4.988679012
57,120,0.827952002
58,55,0.007199885
59,66,0.878309823
60,90,0.446377053
61,69,0.323988227
62,55,0.007199952
63,2,5.579134859
64,106,6.644360273
65,105,4.607194628
66,100,5.75211832
67,93,6.536680732
68,47,2.28941983
69,49,0.036000885
70,50,0.007200218
71,56,0.100801678
72,48,0.345590762
73,50,0.007200285
74,51,0.007200285
75,48,0.007200285
76,95,3.462666177
77,116,7.724466392
78,6,5.356176852
79,51,0.007200351
80,141,0.007200351
81,133,4.103739427
82,96,4.125004552
83,55,0.057602145
84,130,4.398609664
85,137,3.326230883
86,51,0.115204799
87,108,0.784816692
88,54,0.007200485
89,117,6.292026765
90,53,0.640819365
91,52,0.158409373
92,59,0.007200551
93,119,1.756795851
94,128,3.614240043
95,11,0.007200618
96,124,4.276539125
97,118,5.860573074
98,13,0.007200685
99,4,13.47727135
100,14,0.03600338
101,9,7.444244777
102,15,0.007200751
103,11,1.008051567
104,15,5.594529799
105,59,0.093610093
106,42,0.007200884
107,114,0.007200884
108,134,4.715856715
109,112,0.028803671
110,94,7.307383842
111,40,0.007201018
112,40,0.007201018
113,73,7.112940498
114,29,5.752752261
115,54,0.417647415
116,39,0.007201151
117,87,14.33436559
118,109,0.554449351
119,39,0.014402435
120,127,2.71447051
121,113,14.32073821
122,30,0.180027445
123,30,1.886526747
124,59,0.115218348
125,17,1.67059194
126,74,7.365286274
127,18,0.007201484
128,38,0.007201484
129,21,1.454568514
130,665,0.626486718
131,150,2.779405348
132,102,3.506572172
133,22,3.060268013
134,664,2.592232188
135,10,4.896002651
136,110,1.288982648
137,19,4.730926736
138,139,6.782374453
139,143,3.636215423
140,27,3.341017136
141,91,4.298730684
142,663,2.088335909
143,144,1.144940822
144,101,5.918615107
145,28,0.547313466
146,33,0.007201817
147,28,0.007201817
148,114,6.42333096
149,151,4.745483755
150,92,7.402031421
151,149,7.315044716
152,18,0.972218802
153,146,0.00720195
154,140,4.752331618
155,37,0.62655555
156,60,1.562674593
157,213,6.365083723
158,25,4.961664996
159,666,5.019258026
160,23,2.534935685
161,77,0.52572968
162,63,0.316879509
163,36,0.007202283
164,107,7.646967671
165,214,7.128465724
166,147,0.367306219
167,216,6.805386954
168,202,1.166676018
169,659,0.014404899
170,42,0.007202483
171,145,1.130707951
172,123,19.30349543
173,141,3.773557671
174,674,0.007202616
175,146,0.007202616
176,88,5.991521545
177,39,0.957885341
178,146,0.007202683
179,609,8.050338983
180,221,3.139880894
181,200,5.761550902
